Dependency=ASHRAE IECC Climate Zone 2004 - 2A Split	Dependency=Heating Fuel	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	source_count	source_weight	sampling_probability
2B	Other Fuel	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	17	46624.6	3.12E-05
2B	Propane	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	17	46624.6	7.95E-05
2B	Electricity	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	27	139224	0.00271936
2B	Fuel Oil	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	17	23267.8	2.00E-06
2B	Natural Gas	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	17	23267.8	0.00176082
2B	None	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	2	10214.1	4.51E-05
2B	Other Fuel	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	17	23267.8	4.97E-05
2B	Propane	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	17	23267.8	8.95E-05
2B	Electricity	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	27	139224	0.000772519
2B	Fuel Oil	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	17	23267.8	8.93E-07
2B	Natural Gas	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	17	23267.8	0.000430794
2B	None	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	2	10214.1	1.14E-05
2B	Other Fuel	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	17	23267.8	1.65E-05
2B	Propane	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	17	23267.8	2.52E-05
2B	Electricity	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	2	18709.4	0.000153472
2B	Fuel Oil	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	1	1804.35	9.52E-08
2B	Natural Gas	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	1	1804.35	0.000105387
2B	None	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	0	0	8.62E-06
2B	Other Fuel	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	1	1804.35	6.89E-06
2B	Propane	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	1	1804.35	7.80E-06
3A	Electricity	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	13	124099	0.00190177
3A	Fuel Oil	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	26	69047.1	4.03E-05
3A	Natural Gas	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	26	69047.1	0.00235501
3A	None	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	0	0	1.76E-05
3A	Other Fuel	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	26	69047.1	7.88E-05
3A	Propane	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	26	69047.1	0.000328989
3A	Electricity	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	35	389233	0.00422108
3A	Fuel Oil	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	58	153976	9.16E-05
3A	Natural Gas	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	58	153976	0.00538493
3A	None	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	0	0	3.99E-05
3A	Other Fuel	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	58	153976	0.000129601
3A	Propane	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	58	153976	0.000602976
3A	Electricity	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	61	691968	0.00644435
3A	Fuel Oil	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	76	240330	8.97E-05
3A	Natural Gas	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	76	240330	0.00582716
3A	None	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	2	22692	3.97E-05
3A	Other Fuel	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	76	240330	0.000178373
3A	Propane	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	76	240330	0.000822198
3A	Electricity	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	91	1.01E+06	0.0127065
3A	Fuel Oil	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	82	236055	0.0001047
3A	Natural Gas	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	82	236055	0.0065714
